Year,Section,Content
1882,Event List,All-Star GameA.L.C.S. & N.L.C.S.AwardsBallparksCollege BaseballDivision SeriesDraftManagersOpening DayTeam by TeamTrades DatabaseUmpiresWild Card GameWorld SeriesYear by Year
1882,Event List,Baseball FamiliesBiographiesBirthplace AnalysisFabulous FeatsFamous FirstsGrave SitesHall of FameInterviewsObituariesPlace of Death AnalysisThe BallplayersQuotesYear of Birth AnalysisYear of Death Analysis
1882,Event List,Attendance DataHitting ChartsPitching ChartsRecord BooksStatmaster
1882,Event List,"1,500 Oldest PlayersAutographsBaseball CardsBaseball ChartsBaseball ListsBook ShelfCups of CoffeeFun & GamesHumor & JokesMovie TimeNews FeedsPoetry & SongResearch ArticlesUniform NumbersU.S. Presidents"
1882,Event List,AdvertisingBlogDictionaryFeedbackNewsletterRulesScoringSearch & FindStats 101
1882,Event Summary,"Congress adopted the ""Chinese Exclusion Act"" which prohibited the immigration of Chinese laborers into the United States for ten years. It was the first major restriction on immigration in the U.S. and stated ""Whereas, in the opinion of the Government of the United States, the coming of Chinese laborers to this country endangers the good order of certain localities within the territory."""
1882,Event Summary,"For the first time, teams in the National League were permitted to wear colored uniforms. Although the league would not mandate what colors were used, they later determined all stocking colors for the following season."
1882,Event Summary,The Chicago White Stockings set a Major League record after scoring a 35-4 win over the Cleveland Blues. Outfielder-turned pitcher Dave Rowe surrendered twenty-nine hits (including ten doubles and seven walks) in his only appearance on the mound.
1882,Event Summary,"Ambidextrous Tony Mullane of the Louisville Eclipse pitched right AND left handed during a July 18th, 9-8 loss to the Baltimore Orioles."
1882,Event Summary,The Cincinnati Red Stockings executed a rare triple play — three times in the season — thanks to pitcher Will White who was on the mound for two of them.
1882,Event Summary,"In December, the American Association became the first league to hire full-time umpires."
1882,Event Summary,"""(Pete) Browning suffered from mastoiditis, which left him almost completely deaf. Mastoiditis, the bacterial infection of the skull's mastoid bone, is often a complication of acute otitis media, or middle ear infection."" - American Academy of Otolaryngology"
1882,Event Summary,1882 Hitting Statistics League Leaders |1883→
1882,Event Summary,1882 Pitching Statistics League Leaders |1883→
1882,Event Summary,Team Standings
1882,Event Summary,Hitting Statistics League Leaderboard
1882,Event Summary,Pitching Statistics League Leaderboard
1882,Event Summary,"On May 2, 1882, the American Association had its first ever regular season game where the Pittsburgh Alleghenys defeated the Cincinnati Red Stockings 10-9."
1882,Event Summary,"Did you know that on July 18, 1882,Tony Mullanewas pitching in a game versus the Baltimore Orioles. During the fourth inning he began pitching left-handed to left-handed hitters and switched back to right-handed for right handed hitters!"
1882,Event Summary,"The Philadelphia Athletics reported a $22,000 profit at seasons end - more than any team in either the American Association or National League. But things were not always perfect during the inaugural season as the Baltimore Orioles once had to wear civilian clothes on September 11, 1882 due to their uniforms being held at a local train station."
1883,Event List,All-Star GameA.L.C.S. & N.L.C.S.AwardsBallparksCollege BaseballDivision SeriesDraftManagersOpening DayTeam by TeamTrades DatabaseUmpiresWild Card GameWorld SeriesYear by Year
1883,Event List,Baseball FamiliesBiographiesBirthplace AnalysisFabulous FeatsFamous FirstsGrave SitesHall of FameInterviewsObituariesPlace of Death AnalysisThe BallplayersQuotesYear of Birth AnalysisYear of Death Analysis
1883,Event List,Attendance DataHitting ChartsPitching ChartsRecord BooksStatmaster
1883,Event List,"1,500 Oldest PlayersAutographsBaseball CardsBaseball ChartsBaseball ListsBook ShelfCups of CoffeeFun & GamesHumor & JokesMovie TimeNews FeedsPoetry & SongResearch ArticlesUniform NumbersU.S. Presidents"
1883,Event List,AdvertisingBlogDictionaryFeedbackNewsletterRulesScoringSearch & FindStats 101
1883,Event Summary,"U.S. Congress created the Civil Service Commission to oversee the hiring for all Government civilian jobs. The service assisted in filling positions in a wide variety of professional, technical, clerical, craft and other occupations. Several years later, it underwent a complete reform by President Theodore Roosevelt who held the ideal that the Government should be the great arbiter of the conflicting economic forces in the Nation, especially between capital and labor, guaranteeing justice to each and dispensing favors to none."
1883,Event Summary,"The National League regulated stockings for the first time as Boston wore red, Buffalo; gray, Chicago; white, Cleveland; blue, Providence; light blue, Detroit; brown, Philadelphia; blue and white checks and New York; crimson and black."
1883,Event Summary,"Charles ""Old Hoss"" Radbourn tossed an 8-0 no-hitter against the Cleveland Blues on July 25th. Radbourn was one of the most dominant pitchers of his day winning thirty-one in 1882, forty-nine in 1883 and an incredible sixty games in 1884 (including twenty-six out of the final twenty-seven)."
1883,Event Summary,"Hugh Daily, a one armed pitcher for Cleveland, threw a 1-0 no-hitter against Philadelphia on September 13th. Known as ""One Arm"", Daily pitched six seasons in the Major Leagues compiling a 73-87 record."
1883,Event Summary,"During the pre-season, the American Association and National League agreed to terms of peace including a promise not to raid players from each other's league."
1883,Event Summary,"The American Association champion Philadelphia Athletics lost their first eight post-season exhibition games resulting in the cancellation of a ""World Series"" against the National League pennant-winning Boston Beaneaters."
1883,Event Summary,"""(John) Reilly was one of the major league American Association's stars, and he played his entire career in his hometown of Cincinnati. A smooth-fielding, 6'3"" first baseman, Long John tied for the AA lead with eleven home runs in 1884 and led with thirteen HR and one-hundred three RBI in 1888."" - Professor / Historian Duane A. Smith"
1883,Event Summary,←1882| 1883 Hitting Statistics League Leaders |1884→
1883,Event Summary,←1882| 1883 Pitching Statistics League Leaders |1884→
1883,Event Summary,Team Standings
1883,Event Summary,Hitting Statistics League Leaderboard
1883,Event Summary,Pitching Statistics League Leaderboard
1883,Event Summary,"On July 4, 1883,Tim Keefeof the New York Metropolitans pitched both ends of a doubleheader and finished with two complete game victories and allowed a total of three hits."
1883,Event Summary,"Did you know that after the Louisville Eclipse played the Pittsburgh Alleghenys on August 20, 1883, the league finedMike MansellandGeorge Creamer$100 each for playing drunk?"
1883,Event Summary,"On September 12, 1883, Cincinnati Red Stockings first basemanJohn Reillyhit for the cycle. Seven days laterReillyhit for the cycle a second time and became the first Major League player tohit for the cycle twice during the same season."
1884,Event List,All-Star GameA.L.C.S. & N.L.C.S.AwardsBallparksCollege BaseballDivision SeriesDraftManagersOpening DayTeam by TeamTrades DatabaseUmpiresWild Card GameWorld SeriesYear by Year
1884,Event List,Baseball FamiliesBiographiesBirthplace AnalysisFabulous FeatsFamous FirstsGrave SitesHall of FameInterviewsObituariesPlace of Death AnalysisThe BallplayersQuotesYear of Birth AnalysisYear of Death Analysis
1884,Event List,Attendance DataHitting ChartsPitching ChartsRecord BooksStatmaster
1884,Event List,"1,500 Oldest PlayersAutographsBaseball CardsBaseball ChartsBaseball ListsBook ShelfCups of CoffeeFun & GamesHumor & JokesMovie TimeNews FeedsPoetry & SongResearch ArticlesUniform NumbersU.S. Presidents"
1884,Event List,AdvertisingBlogDictionaryFeedbackNewsletterRulesScoringSearch & FindStats 101
